country,event_date,goldstein_forecast
CHN,2024-01-01,-1.4014583871430597
CHN,2024-01-02,-1.3911609250242232
CHN,2024-01-03,-1.614335652601361
CHN,2024-01-04,-1.5322202871462023
CHN,2024-01-05,-1.5147783774587076
CHN,2024-01-06,-1.3961966482293195
CHN,2024-01-07,-1.3509926226522755
JPN,2024-01-01,-2.0786617090286876
JPN,2024-01-02,-2.0844189664900097
JPN,2024-01-03,-1.970709265257352
JPN,2024-01-04,-2.114279372445649
JPN,2024-01-05,-2.066548057438978
JPN,2024-01-06,-2.003189738414843
JPN,2024-01-07,-2.031145208645038
RUS,2024-01-01,-5.284245595785172
RUS,2024-01-02,-5.435730539483497
RUS,2024-01-03,-5.333554626326393
RUS,2024-01-04,-5.269572516373311
RUS,2024-01-05,-5.273450986952284
RUS,2024-01-06,-5.47830198152092
RUS,2024-01-07,-5.4602106140421
TWN,2024-01-01,-1.0849727735354016
TWN,2024-01-02,-1.1410318254379244
TWN,2024-01-03,-0.9567507459268099
TWN,2024-01-04,-1.2682034007033585
TWN,2024-01-05,-1.145035550590205
TWN,2024-01-06,-1.1884073589704278
TWN,2024-01-07,-1.054351858367614
UKR,2024-01-01,1.5574219082426444
UKR,2024-01-02,1.4103373666286179
UKR,2024-01-03,1.5170436854665532
UKR,2024-01-04,1.6757633461839452
UKR,2024-01-05,1.5995460001002364
UKR,2024-01-06,1.5222868035206634
UKR,2024-01-07,1.410288113714534
USA,2024-01-01,0.845483101192214
USA,2024-01-02,0.8646911870147073
USA,2024-01-03,0.9097930100621259
USA,2024-01-04,0.7811310084283383
USA,2024-01-05,0.884536350692717
USA,2024-01-06,0.8734732402747529
USA,2024-01-07,0.8355456169515522
